Make,Age,SurvivalRate,DeathRate,IncrementalDeathRate,10YearAdjSurvivalRate,10YearAdjDeathRate
Honda,10,0.963,0.037,0.026,1,0
Honda,15,0.822,0.178,0.141,0.859,0.141
Honda,20,0.403,0.597,0.419,0.44,0.56
Honda,25,0.07,0.93,0.333,0.107,0.893
Toyota,10,0.954,0.046,0.034,1,0
Toyota,15,0.835,0.165,0.119,0.881,0.119
Toyota,20,0.358,0.642,0.477,0.404,0.596
Toyota,25,0.106,0.894,0.252,0.152,0.848
Nissan,10,0.951,0.049,0.037,1,0
Nissan,15,0.665,0.335,0.286,0.714,0.286
Nissan,20,0.231,0.769,0.434,0.28,0.72
Nissan,25,0.05,0.95,0.181,0.099,0.901
Hyundai,10,0.88,0.12,0.1,1,0
Hyundai,15,0.412,0.588,0.468,0.532,0.468
Hyundai,20,0.049,0.951,0.363,0.169,0.831
Hyundai,25,0.007,0.993,0.042,0.127,0.873
Mazda,10,0.954,0.046,0.03,1,0
Mazda,15,0.638,0.362,0.316,0.684,0.316
Mazda,20,0.281,0.719,0.357,0.327,0.673
Mazda,25,0.066,0.934,0.215,0.112,0.888
Ford,10,0.929,0.071,0.06,1,0
Ford,15,0.567,0.433,0.362,0.638,0.362
Ford,20,0.171,0.829,0.396,0.242,0.758
Ford,25,0.047,0.953,0.124,0.118,0.882
Subaru,10,0.985,0.015,0.014,1,0
Subaru,15,0.813,0.187,0.172,0.828,0.172
Subaru,20,0.267,0.733,0.546,0.282,0.718
Subaru,25,0.035,0.965,0.232,0.05,0.95
Volkswagon,10,0.963,0.037,0.025,1,0
Volkswagon,15,0.676,0.324,0.287,0.713,0.287
Volkswagon,20,0.268,0.732,0.408,0.305,0.695
Volkswagon,25,0.231,0.769,0.037,0.268,0.732
Chrysler,10,0.892,0.108,0.098,1,0
Chrysler,15,0.595,0.405,0.297,0.703,0.297
Chrysler,20,0.251,0.749,0.344,0.359,0.641
Chrysler,25,0.068,0.932,0.183,0.176,0.824
Suzuki,10,0.873,0.127,0.115,1,0
Suzuki,15,0.432,0.568,0.441,0.559,0.441
Suzuki,20,0.076,0.924,0.356,0.203,0.797
Suzuki,25,0.026,0.974,0.05,0.153,0.847
Pontiac,10,0.924,0.076,0.057,1,0
Pontiac,15,0.563,0.437,0.361,0.639,0.361
Pontiac,20,0.131,0.869,0.432,0.207,0.793
Pontiac,25,0.047,0.953,0.084,0.123,0.877
Chevrolet,10,0.924,0.076,0.057,1,0
Chevrolet,15,0.563,0.437,0.361,0.639,0.361
Chevrolet,20,0.136,0.864,0.427,0.212,0.788
Chevrolet,25,0.055,0.945,0.081,0.131,0.869
Buick,10,0.963,0.037,0.032,1,0
Buick,15,0.692,0.308,0.271,0.729,0.271
Buick,20,0.302,0.698,0.39,0.339,0.661
Buick,25,0.059,0.941,0.243,0.096,0.904
Oldsmobile,10,0.936,0.064,0.064,1,0
Oldsmobile,15,0.619,0.381,0.317,0.683,0.317
Oldsmobile,20,0.267,0.733,0.352,0.331,0.669
Oldsmobile,25,0.068,0.932,0.199,0.132,0.868
Dodge,10,0.905,0.095,0.078,1,0
Dodge,15,0.464,0.536,0.441,0.559,0.441
Dodge,20,0.126,0.874,0.338,0.221,0.779
Dodge,25,0.027,0.973,0.099,0.122,0.878
