Make,Age,SurvivalRate,DeathRate,IncrementalDeathRate
Honda,5,0.989,0.011,0.011
Honda,10,0.963,0.037,0.026
Honda,15,0.822,0.178,0.141
Honda,20,0.403,0.597,0.419
Honda,25,0.07,0.93,0.333
Toyota,5,0.988,0.012,0.012
Toyota,10,0.954,0.046,0.034
Toyota,15,0.835,0.165,0.119
Toyota,20,0.358,0.642,0.477
Toyota,25,0.106,0.894,0.252
Nissan,5,0.988,0.012,0.012
Nissan,10,0.951,0.049,0.037
Nissan,15,0.665,0.335,0.286
Nissan,20,0.231,0.769,0.434
Nissan,25,0.05,0.95,0.181
Hyundai,5,0.98,0.02,0.02
Hyundai,10,0.88,0.12,0.1
Hyundai,15,0.412,0.588,0.468
Hyundai,20,0.049,0.951,0.363
Hyundai,25,0.007,0.993,0.042
Mazda,5,0.984,0.016,0.016
Mazda,10,0.954,0.046,0.03
Mazda,15,0.638,0.362,0.316
Mazda,20,0.281,0.719,0.357
Mazda,25,0.066,0.934,0.215
Ford,5,0.989,0.011,0.011
Ford,10,0.929,0.071,0.06
Ford,15,0.567,0.433,0.362
Ford,20,0.171,0.829,0.396
Ford,25,0.047,0.953,0.124
Subaru,5,0.999,0.001,0.001
Subaru,10,0.985,0.015,0.014
Subaru,15,0.813,0.187,0.172
Subaru,20,0.267,0.733,0.546
Subaru,25,0.035,0.965,0.232
Volkswagon,5,0.988,0.012,0.012
Volkswagon,10,0.963,0.037,0.025
Volkswagon,15,0.676,0.324,0.287
Volkswagon,20,0.268,0.732,0.408
Volkswagon,25,0.231,0.769,0.037
Chrysler,5,0.99,0.01,0.01
Chrysler,10,0.892,0.108,0.098
Chrysler,15,0.595,0.405,0.297
Chrysler,20,0.251,0.749,0.344
Chrysler,25,0.068,0.932,0.183
Suzuki,5,0.988,0.012,0.012
Suzuki,10,0.873,0.127,0.115
Suzuki,15,0.432,0.568,0.441
Suzuki,20,0.076,0.924,0.356
Suzuki,25,0.026,0.974,0.05
Pontiac,5,0.981,0.019,0.019
Pontiac,10,0.924,0.076,0.057
Pontiac,15,0.563,0.437,0.361
Pontiac,20,0.131,0.869,0.432
Pontiac,25,0.047,0.953,0.084
Chevrolet,5,0.981,0.019,0.019
Chevrolet,10,0.924,0.076,0.057
Chevrolet,15,0.563,0.437,0.361
Chevrolet,20,0.136,0.864,0.427
Chevrolet,25,0.055,0.945,0.081
Buick,5,0.995,0.005,0.005
Buick,10,0.963,0.037,0.032
Buick,15,0.692,0.308,0.271
Buick,20,0.302,0.698,0.39
Buick,25,0.059,0.941,0.243
Oldsmobile,5,1,0,0
Oldsmobile,10,0.936,0.064,0.064
Oldsmobile,15,0.619,0.381,0.317
Oldsmobile,20,0.267,0.733,0.352
Oldsmobile,25,0.068,0.932,0.199
Dodge,5,0.983,0.017,0.017
Dodge,10,0.905,0.095,0.078
Dodge,15,0.464,0.536,0.441
Dodge,20,0.126,0.874,0.338
Dodge,25,0.027,0.973,0.099
